Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
500002,ABB India Limited,ABB,ABB India Ltd,Active,A ,2.00,INE117A01022,Equity,,,,,
500003,Aegis Logistics Ltd.,AEGISLOG,Aegis Logistics Ltd,Active,A ,1.00,INE208C01025,Equity,,,,,
500004,Torrent Power AEC Limited,TPAEC,Torrent Power AEC Ltd,Delisted,B ,10.00,INE424A01014,Equity,,,,,
500005,Akar Laminators Ltd.,AKARLAMIN,Akar Laminators Ltd,Delisted,XD,10.00,INE984C01013,Equity,,,,,
500006,Alpha Drugs India Ltd,ALPHADR,Alpha Drug India Ltd,Delisted,B ,10.00,INE256B01026,Equity,,,,,
500008,Amara Raja Energy & Mobility Limited,ARE&M,Amara Raja Energy & Mobility Ltd,Active,A ,1.00,INE885A01032,Equity,,,,,
500009,Ambalal Sarabhai Enterprise Ltd.,AMBALALSA,Ambalal Sarabhai Enterprises Ltd,Active,B ,10.00,INE432A01017,Equity,,,,,
500010,Housing Development Finance Corp.Lt,HDFC,Housing Development Finance Corporation Ltd,Delisted,A ,2.00,INE001A01036,Equity,,,,,
500011,Amrut Industries Ltd,AMRTMIL-BDM,Amrut Industries Ltd,Delisted,Z ,10.00,NA          ,Equity,,,,,
500012,Andhra Petrochemicals Ltd.,ANDHRAPET,Andhra Petrochemicals Ltd,Active,X ,10.00,INE714B01016,Equity,,,,,
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,Ansal Properties & Infrastructure Ltd,Active,Z ,5.00,INE436A01026,Equity,,,,,
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,X ,10.00,INE096A01010,Equity,,,,,
500015,ICICI Ltd.,ICICIDM,ICICI Ltd,Delisted,B ,10.00,INE005A01011,Equity,,,,,
500016,Aruna Hotels Ltd.,ARUNAHTEL,Aruna Hotels Ltd,Active,X ,10.00,INE957C01019,Equity,,,,,
500018,Arvind Polycot Limited,ARPOLDM,ARPOLDM,Delisted,B ,10.00,INE035A01018,Equity,,,,,
500019,Bank Of Rajasthan Ltd.,BOR,Bank of Rajasthan Ltd,Delisted,B ,10.00,INE320A01014,Equity,,,,,
500020,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,Active,B ,2.00,INE032A01023,Equity,,,,,
500021,Asian Coffee Ltd,ASINCOF,ASINCOF,Delisted,Z ,10.00,NA          ,Equity,,,,,
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Ltd,Active,B ,10.00,INE363A01022,Equity,,,,,
500024,Assam Company (India) Limited,ASSAMCO,Assam Company India Ltd,Delisted,T ,1.00,INE442A01024,Equity,,,,,
500025,Assambrook Limited,ASSAMBR,Assambrook Ltd-$,Delisted,X ,10.00,INE353C01011,Equity,,,,,
500026,Atash Industries Ltd,ATSHIND,Atash Industries Ltd,Delisted,Z ,10.00,NA          ,Equity,,,,,
500027,Atul Limited.,ATUL,Atul Ltd,Active,A ,10.00,INE100A01010,Equity,,,,,
500028,ATV Projects India Ltd,ATVPR,ATV Projects India Ltd,Active,X ,10.00,INE447A01015,Equity,,,,,
500029,Autolite (India) Ltd.,AUTOLITIND,Autolite (India) Ltd,Delisted,Z ,10.00,INE448A01013,Equity,,,,,
500030,Autoriders Finance Ltd.,AUTORIDFIN,Autoriders Finance Ltd,Delisted,Z ,10.00,INE450A01019,Equity,,,,,
500031,Bajaj Electricals Ltd.,BAJAJELEC,Bajaj Electricals Ltd-$,Active,A ,2.00,INE193E01025,Equity,,,,,
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,Active,B ,1.00,INE306A01021,Equity,,,,,
500033,Force Motors Limited,FORCEMOT,Force Motors Ltd-$,Active,A ,10.00,INE451A01017,Equity,,,,,
